train_loss,train_accuracy,test_accuracy
108.6640320472301,22.488962472406183,14.084507042253522
92.93639118638303,24.55849889624724,17.693661971830984
88.28563186289772,24.77924944812362,17.16549295774648
86.55600837978815,24.834437086092713,17.95774647887324
85.21315032533474,24.944812362030905,17.869718309859156
83.94908177967937,24.530905077262695,16.549295774647888
82.91757988515828,24.806843267108167,17.6056338028169
82.02365328888926,24.44812362030905,16.989436619718308
81.21423347031195,24.337748344370862,16.989436619718308
80.37146198717019,24.475717439293597,17.16549295774648
79.45484522265929,24.77924944812362,17.341549295774648
78.8575753940358,25.22075055187638,17.253521126760564
77.98831237416478,25.055187637969095,17.341549295774648
77.52786107791499,24.77924944812362,16.81338028169014
77.04999328978242,24.77924944812362,16.901408450704224
76.68095738832498,24.88962472406181,17.077464788732392
76.0406964552101,25.137969094922735,17.077464788732392
75.78146185994976,25.496688741721858,17.517605633802816
75.40276267967882,25.386313465783665,17.6056338028169
74.7218769342003,26.186534216335538,19.014084507042252
74.38894228029642,25.800220750551876,17.341549295774648
74.06414505790565,25.938189845474614,18.30985915492958
73.51058180574032,25.99337748344371,17.869718309859156
73.437108431381,25.938189845474614,18.485915492957748
73.07094558637353,25.965783664459163,18.045774647887324
72.63715238551357,25.717439293598233,17.693661971830984
72.53405184040054,25.74503311258278,17.6056338028169
72.03311140708152,26.379690949227374,18.397887323943664
71.95468695454359,26.40728476821192,18.75
71.59071807495303,26.71081677704194,19.8943661971831
71.44686270438667,27.483443708609272,20.070422535211268
71.31911815087946,27.373068432671083,20.422535211267608
70.86239634853389,27.097130242825607,20.422535211267608
70.66038059744068,26.82119205298013,19.982394366197184
70.4133582283994,27.262693156732894,20.158450704225352
70.26010868886101,26.600441501103756,19.102112676056336
70.25746544132689,26.6280353200883,19.806338028169016
69.99676238406923,26.269315673289185,18.661971830985916
69.81360266594187,25.99337748344371,19.19014084507042
69.62468137802733,26.186534216335538,19.102112676056336
69.50045285990373,27.014348785871967,19.19014084507042
69.4614170180072,26.131346578366443,18.661971830985916
69.13045482630176,27.262693156732894,20.070422535211268
69.03590769669603,27.455849889624723,20.246478873239436
68.95793123396912,27.53863134657837,19.718309859154928
69.18112196131713,27.290286975717436,19.806338028169016
68.76802373775799,27.84216335540839,20.774647887323944
68.19067138269367,27.81456953642384,19.806338028169016
68.17925200056995,27.92494481236203,20.246478873239436
67.6127008391352,28.504415011037526,21.12676056338028
67.44011819568861,28.532008830022075,20.862676056338028
67.27189708036917,28.228476821192057,20.598591549295776
67.03646212785195,28.33885209713024,20.158450704225352
66.88740743610579,28.697571743929362,20.774647887323944
66.60015478121146,29.525386313465784,20.862676056338028
66.291139368707,29.083885209713024,20.158450704225352
65.86314972711446,29.083885209713024,20.598591549295776
65.36475482141037,29.828918322295806,20.950704225352112
65.31177341981999,30.739514348785875,22.711267605633804
64.68562684434703,30.684326710816777,22.711267605633804
64.80110324045185,31.043046357615893,22.535211267605636
64.50361642561897,30.90507726269316,21.742957746478872
64.35189165691254,30.90507726269316,22.535211267605636
64.16021470130156,31.153421633554085,23.06338028169014
64.09959029155554,30.87748344370861,22.799295774647888
64.06157602244686,31.62251655629139,23.591549295774648
63.98780571071557,30.684326710816777,23.327464788732392
64.0328842980218,31.236203090507725,23.503521126760564
63.33862833248355,31.40176600441501,23.239436619718308
63.304058446731815,31.346578366445915,23.8556338028169
63.290032968690085,31.981236203090507,24.735915492957748
63.541043235329056,31.788079470198678,23.151408450704224
62.96211371296788,31.62251655629139,23.239436619718308
62.65251835095899,31.31898454746137,22.62323943661972
62.3496335145245,30.79470198675497,22.887323943661972
62.33238394399144,31.20860927152318,23.06338028169014
62.10182699377534,30.491169977924944,22.62323943661972
61.89165382584029,30.656732891832227,22.535211267605636
61.63743963035097,30.573951434878587,22.62323943661972
61.37514084165579,30.739514348785875,22.799295774647888
61.2838926190272,30.684326710816777,24.471830985915492
60.68478869598281,30.601545253863133,24.119718309859156
60.30800452012946,31.42935982339956,25.088028169014088
60.55358986472452,30.739514348785875,24.383802816901408
60.020003888814706,31.015452538631344,24.55985915492958
59.84717704359874,32.39514348785872,23.767605633802816
59.74078026891544,32.0916114790287,25.0
59.64093164540735,31.70529801324503,24.823943661971832
59.60614927640621,32.25717439293598,24.55985915492958
59.17903351256003,31.07064017660044,25.352112676056336
58.958997853811724,31.31898454746137,25.352112676056336
58.86188484351604,31.760485651214125,26.1443661971831
58.8075317855091,33.25055187637969,27.640845070422536
59.03371169231047,31.870860927152318,23.767605633802816
58.56140019814853,31.153421633554085,25.352112676056336
58.329090370084735,32.11920529801324,25.616197183098592
58.344862582368755,31.732891832229583,25.352112676056336
58.459836780089454,33.25055187637969,25.176056338028168
58.29127572270897,32.94701986754967,25.264084507042256
58.27455796302058,31.815673289183223,24.383802816901408
57.9503898158372,32.39514348785872,24.735915492957748
58.06111988838968,30.79470198675497,24.20774647887324
58.131340924129795,32.25717439293598,24.20774647887324
57.962406470991915,31.62251655629139,25.704225352112676
58.50926214518277,31.42935982339956,22.975352112676056
58.2143442216424,31.42935982339956,22.799295774647888
58.410598441962584,32.0364238410596,24.911971830985916
57.87946198493545,32.39514348785872,24.471830985915492
58.69943288357426,33.85761589403973,25.528169014084508
58.7986871845173,31.898454746136867,24.823943661971832
58.579455755344945,32.33995584988962,25.176056338028168
58.49422782094131,32.28476821192053,25.96830985915493
58.318548312984014,32.86423841059602,26.496478873239436
58.169396388338114,32.25717439293598,25.440140845070424
58.31761026802142,32.86423841059602,26.58450704225352
58.13202442311278,33.63686534216336,27.904929577464788
57.91504754156885,31.650110375275936,26.76056338028169
57.622788494363675,34.409492273730685,28.169014084507044
57.997348937636524,31.263796909492275,26.58450704225352
57.57857872694703,30.4635761589404,25.088028169014088
57.70609658953202,32.28476821192053,26.936619718309856
57.936844847458396,32.78145695364238,28.169014084507044
57.338053268610985,33.22295805739514,26.936619718309856
57.146668473966805,33.05739514348786,27.640845070422536
57.56902180812742,31.95364238410596,25.352112676056336
57.351152177392606,32.20198675496689,24.647887323943664
57.12486237292973,33.16777041942605,27.2887323943662
57.38557985136013,33.22295805739514,26.320422535211268
57.098387365031705,33.471302428256074,26.23239436619718
56.917619461253274,34.492273730684325,25.352112676056336
57.05481591834761,33.27814569536424,26.056338028169012
57.03323743645876,33.554083885209714,25.616197183098592
56.51372831318867,33.69205298013245,25.176056338028168
56.159545451036784,33.69205298013245,25.264084507042256
56.529622244658796,33.1401766004415,25.440140845070424
56.73310037882027,33.498896247240616,22.799295774647888
56.677383536617974,34.16114790286976,25.880281690140844
56.082100395641255,33.63686534216336,25.96830985915493
56.33922427247042,33.96799116997792,23.327464788732392
55.658397153252274,34.7130242825607,25.704225352112676
56.013809583247095,33.77483443708609,25.704225352112676
56.13772924255976,32.698675496688736,28.345070422535212
55.65593159774878,33.360927152317885,27.11267605633803
54.951772482439296,33.02980132450331,27.024647887323944
55.870330959368154,32.83664459161148,25.704225352112676
55.750052441758314,33.91280353200883,26.056338028169012
55.65657853242841,33.526490066225165,26.1443661971831
54.861951691764204,34.437086092715234,25.528169014084508
55.41811655891578,34.8233995584989,26.408450704225352
55.270113237861395,34.381898454746135,27.11267605633803
55.49468763318053,33.80242825607064,27.024647887323944
55.11757086527937,34.602649006622514,27.992957746478876
54.69222041977466,33.416114790286976,26.496478873239436
55.36967422474695,33.1953642384106,26.320422535211268
55.577063698374246,33.94039735099338,28.257042253521124
55.36861383378074,34.32671081677704,25.792253521126764
56.14137949591589,35.154525386313466,28.345070422535212
55.44170743394514,34.85099337748344,28.169014084507044
55.34474063562026,34.96136865342163,25.088028169014088
56.91393743419192,33.83002207505519,25.704225352112676
55.849124470188855,35.07174392935982,24.55985915492958
55.18374275065735,33.80242825607064,23.327464788732392
55.20213689419371,35.07174392935982,27.024647887323944
55.24885704061793,34.2439293598234,25.880281690140844
56.16642605779426,34.35430463576159,26.23239436619718
56.01188413054952,34.409492273730685,25.880281690140844
56.28916152877159,36.89293598233996,26.672535211267608
56.40662896223015,33.77483443708609,24.911971830985916
55.905725916280296,32.83664459161148,23.591549295774648
56.194228753450304,33.609271523178805,24.295774647887324
56.29671143407731,34.13355408388521,25.264084507042256
57.03889237661774,36.175496688741724,28.785211267605632
57.49494208527049,37.003311258278146,29.13732394366197
56.3039610582281,34.98896247240618,26.23239436619718
56.63283577229063,37.72075055187638,29.753521126760564
55.56590921932735,35.78918322295806,26.1443661971831
55.678554777311675,36.69977924944812,30.01760563380282
56.581247918270826,36.147902869757175,28.433098591549292
55.692937534167115,38.54856512141281,29.577464788732392
56.59668787782559,36.89293598233996,30.1056338028169
56.00074783202431,35.347682119205295,24.823943661971832
55.720292266611644,35.182119205298015,27.11267605633803
56.346505679042096,35.65121412803532,27.37676056338028
56.381141869099956,35.8719646799117,27.640845070422536
55.41254573039311,37.72075055187638,28.609154929577464
55.95472711279743,33.94039735099338,23.591549295774648
56.17910998078647,35.51324503311258,25.0
57.88441512775644,35.347682119205295,24.735915492957748
55.572718727828324,37.05849889624724,27.37676056338028
57.00362771414317,38.18984547461369,31.338028169014088
58.205439244366325,36.423841059602644,30.633802816901408
57.43556923629778,37.27924944812362,27.464788732394368
55.984759421340726,37.69315673289183,30.545774647887324
55.323387517233236,36.67218543046358,27.816901408450708
55.312443568859074,38.051876379690945,29.841549295774648
56.42561443130306,35.62362030905077,27.2887323943662
56.82819719949787,37.5,27.904929577464788
55.63757586212564,36.31346578366446,28.785211267605632
57.00899596977817,37.69315673289183,28.9612676056338
57.23644323037713,37.80353200883002,29.313380281690144
56.31165837379064,37.5551876379691,29.48943661971831
56.173777924235935,38.13465783664459,29.13732394366197
55.84607137393207,38.162251655629134,30.721830985915492
54.9727556165645,37.113686534216335,26.320422535211268
56.228604943641656,38.68653421633554,28.433098591549292
55.50108564277004,36.3962472406181,26.056338028169012
56.49979331980579,36.50662251655629,23.943661971830984
56.93930239432354,37.94150110375276,27.200704225352112
55.16791539102315,37.113686534216335,28.257042253521124
56.17475609886975,37.086092715231786,24.735915492957748
54.87998530347307,39.67991169977925,28.785211267605632
54.621377924230366,39.735099337748345,32.13028169014084
54.41566811836604,39.92825607064018,31.514084507042256
54.631886645313074,41.22516556291391,31.690140845070424
55.420361533043184,39.817880794701985,33.45070422535211
55.65283746320947,39.707505518763796,33.62676056338028
55.18115914090757,39.23841059602649,28.9612676056338
55.017255676504845,37.30684326710817,25.0
56.990732759849855,39.845474613686534,25.0
54.855731777343735,37.52759381898454,25.704225352112676
53.547395188071526,36.78256070640177,30.1056338028169
55.798615647130184,38.051876379690945,29.049295774647888
54.61520430734076,37.996688741721854,27.464788732394368
53.68970273097604,38.46578366445917,26.76056338028169
55.715367207355385,38.741721854304636,30.809859154929576
53.437541028257414,36.423841059602644,28.169014084507044
56.573040186204864,38.576158940397356,29.225352112676056
54.77978075228286,40.562913907284766,30.369718309859156
55.40581182793193,37.52759381898454,29.841549295774648
54.71288879032559,40.2869757174393,29.48943661971831
54.23055102907344,38.907284768211916,30.633802816901408
53.97266376721358,37.858719646799116,25.792253521126764
55.47464982719791,37.775938189845476,28.9612676056338
54.27213086368699,38.32781456953642,28.169014084507044
54.65956692291712,38.769315673289185,36.443661971830984
53.56696027855385,36.50662251655629,34.41901408450704
53.918096914862716,39.51434878587197,33.45070422535211
53.052079139079154,36.69977924944812,28.080985915492956
53.78704700264331,38.54856512141281,27.55281690140845
53.55283851512858,39.45916114790287,38.11619718309859
