,Q_M,Q_h,Q_s,Q_b,Q_f,num_chord,num_scale,num_diss,Comp_M,RR_I,RR_D,H_I_norm,H_D_norm,EMD_chord,EMD_scale,EMD_diss,num_unison,num_stepwise,num_conjunct,num_disjunct,P_total,P_max
0,0.0,0.8800738007380073,0.3198085549214001,0.8889173909248479,0.21752988047808763,164,74,14,0.4354243542435424,0.05134661354581673,0.34836681700150335,0.387489419379463,0.37641557043667484,0.1935804286140342,0.08453300348423914,0.052634461201762184,43,28,51,129,982,1255
1,0.0,0.8440366972477065,0.27085026405223855,0.7119339003843261,0.18446601941747576,75,16,13,0.22935779816513757,0.020559680182752713,0.24804621134896365,0.43810907305003,0.41817855751430866,0.4295165824673817,0.048740472825041736,0.38165486528636444,11,12,13,67,420,515
2,0.0,0.8710191082802548,0.29304198912991275,0.8859704117496758,0.18055555555555558,94,41,10,0.33757961783439494,0.020590520590520592,0.26277968316184874,0.43899515114855836,0.40526497291424113,0.07149822026638088,0.19752388741896387,0.0743554863984744,11,20,16,97,590,720
3,0.0,0.9166666666666666,0.2914618811421175,0.8387681919817978,0.1753424657534246,54,17,3,0.29885057471264365,0.0273972602739726,0.2822774659182037,0.43536438188053395,0.41341972292523366,0.19260179615861137,0.08341200381916292,0.20673101837560795,7,7,12,47,301,365
4,0.0,0.791044776119403,0.27461403962806663,0.9133798490888035,0.22413793103448276,33,16,10,0.20895522388059706,0.024803387779794312,0.2596110357304387,0.4514695025742138,0.42823104817528923,0.07168328327899158,0.08094098455880795,0.1076888172482809,4,5,13,36,225,290
5,0.0,0.8828828828828829,0.2867391509341606,0.8053860392050103,0.10495049504950493,74,20,8,0.26126126126126126,0.03643564356435643,0.31089271089271087,0.42535189963939035,0.39975423931308374,0.2100803400374741,0.18045073470191264,0.19284212948671908,15,5,11,70,452,505
6,0.0,0.9025,0.28961597886096524,0.9002169736398955,0.14883720930232558,116,50,7,0.385,0.029715762273901807,0.19477386934673366,0.4171813537516943,0.4214089089324964,0.10353777729896908,0.10102041825076603,0.09467710319909767,22,12,26,112,732,860
7,0.0,0.8037037037037037,0.2770214849260418,0.6533512534521417,0.18125000000000002,77,34,18,0.23703703703703705,0.024114173228346455,0.3061359867330017,0.4209016355336972,0.3969185920981263,0.5454761750053551,0.3932509883166242,0.09519400273197438,14,19,10,85,524,640
8,0.0,0.8934210526315789,0.29772908574347395,0.8683424173074583,0.18000000000000005,126,33,12,0.39473684210526316,0.041489731987469546,0.23909774436090225,0.4052177309181575,0.40810337934557706,0.1776106099213498,0.09257194334618712,0.12339767883345738,27,17,27,99,697,850
9,0.0,0.8535242290748899,0.3091768024784246,0.8670550430102537,0.16682464454976298,145,45,22,0.42731277533039647,0.03574813811780637,0.27889750886904996,0.40989214132636176,0.39403344874850843,0.1556073286806878,0.13387878865626354,0.10866201509619822,31,27,22,131,879,1055
10,0.0,0.948051948051948,0.3208892195363608,0.7940925157578524,0.19444444444444442,60,12,1,0.37662337662337664,0.06377151799687011,0.3533834586466165,0.4134782026193847,0.39718954179555577,0.2228486999795175,0.0765182530863464,0.3178421294867191,16,10,10,36,290,360
11,0.0,0.85,0.2735162595081299,0.7287598613353234,0.252,65,26,10,0.24545454545454548,0.03333333333333333,0.2718932443703086,0.40627101297444346,0.41062916140801853,0.3527923109370595,0.22660457370129117,0.2318522534080312,14,16,18,52,374,500
12,0.0,0.8986486486486487,0.2770416716464232,0.742998689491456,0.17101449275362324,52,14,4,0.21621621621621623,0.023444160272804774,0.30433172898926325,0.4300027039224299,0.4112135488314017,0.31784196489495026,0.1899745455384433,0.26134376489871075,6,7,9,47,286,345
13,0.0,0.8142857142857143,0.2760069867741489,0.7564063848809015,0.22790697674418603,83,28,19,0.27142857142857146,0.02265019379844961,0.2581706063720452,0.41872020185807746,0.40906536041360086,0.42996251523847434,0.19607815006234594,0.09909263762861531,10,21,19,79,498,645
14,0.0,0.829059829059829,0.2767249867748537,0.9114641747623909,0.16481481481481486,56,44,9,0.28205128205128205,0.01973001038421599,0.21883289124668434,0.4367828816950863,0.42622786849699956,0.09117086255066269,0.11577388752426164,0.058582876022355644,7,8,17,76,451,540
15,0.0,0.9,0.2810118703510911,0.8217258564390165,0.15761589403973508,115,28,9,0.30625,0.032229580573951436,0.25157232704402516,0.40694128605794844,0.4080661580795304,0.28381610033499155,0.04765498618562967,0.2001531030479651,17,13,19,102,636,755
16,0.0,0.8429203539823009,0.2817589564844788,0.8083397745808428,0.12745098039215685,62,31,10,0.2566371681415929,0.033003300330033,0.2770227560050569,0.4336234480688851,0.4085081098768262,0.19838646040517025,0.14453813714166341,0.2318522534080312,15,8,11,68,445,510
17,0.0,0.8722826086956521,0.26897170775874035,0.69038496394235,0.16385542168674694,58,19,7,0.21739130434782605,0.02145166029973553,0.24414715719063546,0.43782314951826407,0.4240452674372406,0.18786848031623749,0.33186128306422147,0.4128046343604122,6,8,10,59,347,415
18,0.0,0.8554421768707483,0.27819545822385827,0.7216976022341177,0.18417266187050363,103,21,16,0.2925170068027211,0.03180064643937024,0.2363246668530426,0.4157448166608152,0.414590154363342,0.39058171500226097,0.14740923509742968,0.2935138396453389,17,18,18,86,567,695
19,0.0,0.8214285714285714,0.25908952056168744,0.7488687918734511,0.21333333333333337,48,19,9,0.18181818181818177,0.023783783783783784,0.22488038277511962,0.4285228817258866,0.43644237270546526,0.435627707287561,0.02106360583507481,0.29111150825213167,5,6,16,48,295,375
20,0.0,0.9098984771573604,0.2804174510224359,0.625131350377023,0.1544444444444445,134,39,8,0.30456852791878175,0.0196772191185599,0.2623018750647467,0.414686557387563,0.40085307562252825,0.44356919555410873,0.5401952780638116,0.13875964052582482,10,14,23,133,761,900
21,0.0,0.9297385620915033,0.2781670871070375,0.7548423273404913,0.1428571428571429,104,35,2,0.2941176470588235,0.034532374100719423,0.23168214654282765,0.41536797840630524,0.41513528942651157,0.45566247817216937,0.09907612239102549,0.17435548391494757,20,14,12,94,600,700
22,0.0,0.9072327044025157,0.2934071712998589,0.8428655567892686,0.15629139072847686,120,23,9,0.32704402515723274,0.028609271523178808,0.29981689355943,0.416248934388048,0.3953167318714048,0.1251920531141092,0.2654163344791474,0.08176289325398696,17,11,24,99,637,755
23,0.0,0.8909313725490196,0.2995003195637431,0.7182068623409077,0.18848167539267013,130,53,9,0.32352941176470584,0.03863323229539818,0.3528928812904472,0.402946575369864,0.37949949709830044,0.35293537113021517,0.36420918402915325,0.12607903256120764,29,19,34,109,775,955
24,0.0,0.8875838926174496,0.2680229736774098,0.5331027037800933,0.125,106,19,12,0.24161073825503354,0.014270152505446623,0.2290948666787593,0.4385491115693193,0.41658999937849006,0.6391009835331078,0.5578536803210983,0.19851893125056874,6,8,15,107,595,680
25,0.0,0.8928571428571429,0.25635720438506154,0.9041558844051779,0.19999999999999996,52,13,5,0.18181818181818177,0.022591645353793693,0.18831168831168832,0.4372096691853442,0.4518548372562996,0.09912367250931658,0.04728714318097493,0.14102215058161424,5,9,9,46,276,345
26,0.0,0.8933566433566433,0.2807085439951219,0.7585344347771362,0.14809160305343516,101,21,10,0.28671328671328666,0.01984732824427481,0.2668176893529006,0.4240458156502608,0.40611860001488664,0.23224485360771038,0.06975075671612391,0.42268050084824654,8,7,21,95,558,655
27,0.0,0.8222543352601156,0.290128237580246,0.9286924161297945,0.17341772151898738,90,51,18,0.32947976878612717,0.027654599693622512,0.26824842048662456,0.42347361606508793,0.4017847828697676,0.06408093408675619,0.09147793985717312,0.05858286705406438,18,19,19,102,653,790
