,Q_M,Q_h,Q_s,Q_b,Q_f,num_chord,num_scale,num_diss,Comp_M,RR_I,RR_D,H_I_norm,H_D_norm,EMD_chord,EMD_scale,EMD_diss,num_unison,num_stepwise,num_conjunct,num_disjunct,P_total,P_max
0,0.4978510788822073,0.7863636363636364,0.30030190683260716,0.8833838090240516,0.20933852140077824,155,59,44,0.37090909090909085,0.026842169260700387,0.33284671532846716,0.39169178575168107,0.3792197729130965,0.12016054423365032,0.1321211166088279,0.09745950744119414,22,27,47,161,1016,1285
1,0.4131491473166972,0.6799065420560748,0.2512839281216174,0.5411052364373754,0.14639175257731962,51,17,30,0.14953271028037385,0.022551546391752577,0.22341738670428496,0.43387374298470116,0.42704425424697434,0.22709101561403286,0.6187411855089905,0.5378764455632927,9,4,17,67,414,485
2,0.4791736694677871,0.7254901960784313,0.27493263534521817,0.8439951414134644,0.23285714285714287,75,32,34,0.2549019607843137,0.021891058581706063,0.28740970072239425,0.4112849835132033,0.3991754731244733,0.17261102536690806,0.03755788818681244,0.2573424450307234,9,21,21,89,537,700
3,0.5103679100664282,0.7912621359223301,0.2795316429222927,0.8063288475714184,0.22947368421052627,55,26,15,0.23300970873786409,0.023964165733482642,0.330858557015039,0.4134777820779282,0.3963480010471495,0.10921235717091327,0.029457719575252284,0.44490273797162955,7,15,15,58,366,475
4,0.4487165963431786,0.6835443037974683,0.26407911735984,0.788522457092078,0.2138888888888889,39,12,22,0.20253164556962022,0.03755868544600939,0.22687439143135346,0.4185829342489118,0.434847930103305,0.16173759934061138,0.08788543045197639,0.38631686994836917,11,10,9,42,283,360
5,0.4415948275862069,0.6831896551724138,0.2656281852169785,0.5446336628514008,0.19999999999999996,44,31,29,0.19827586206896552,0.014467923091566724,0.27316341829085455,0.433228896361348,0.40900482627215773,0.2759844245388193,0.3902410186951661,0.7053093837454417,1,11,17,74,412,515
6,0.4311286452565522,0.7003968253968254,0.2753888454150424,0.770557932017246,0.16186046511627905,94,62,60,0.31746031746031744,0.019430558574222996,0.2243091127553279,0.4089015960338551,0.40684264225148836,0.09750317969894602,0.26658510471667146,0.32823606766245705,11,18,28,158,901,1075
7,0.4332539682539683,0.6865079365079365,0.26961495811215586,0.41785888907555424,0.18000000000000005,46,34,31,0.2222222222222222,0.02018348623853211,0.2773333333333333,0.4223923966519817,0.4059433521147099,0.5314991160221604,0.49129019945585334,0.7251686232014531,8,12,15,75,451,550
8,0.49694415173867224,0.7692307692307692,0.2767603662787789,0.8022825604542386,0.2246575342465753,84,36,27,0.27564102564102566,0.01983939537080775,0.2686517783291977,0.4159000510449745,0.40376958100788884,0.21729315401658453,0.19526555242107405,0.18000040873081266,6,22,22,96,566,730
9,0.44215339927775166,0.7085492227979275,0.2716004661776421,0.7934929366287444,0.17575757575757578,76,45,45,0.26943005181347146,0.016925351071692536,0.24886658031088082,0.4178251659400426,0.40495518175212286,0.062009753865815864,0.12131076692534742,0.4405793756712532,2,19,19,125,680,825
10,0.5079575596816976,0.8620689655172413,0.28284582775288714,0.8232182196549248,0.15384615384615385,52,20,7,0.24137931034482762,0.02097902097902098,0.30927559476075916,0.43687122320195615,0.4057239894778716,0.11194418807603694,0.23045073501235347,0.18991519347013938,6,7,10,55,330,390
11,0.44180538172715894,0.7047872340425532,0.25726599738618716,0.5069835952164583,0.17882352941176471,41,23,22,0.18085106382978722,0.024369747899159664,0.21962937542896363,0.4292883464646763,0.43219145330834907,0.24029347725766284,0.7432083736727056,0.503205633951344,4,13,8,60,349,425
12,0.46939836003051105,0.7532894736842105,0.2611262497771002,0.5789627472061494,0.1855072463768116,40,15,15,0.13157894736842102,0.023017902813299233,0.3101754385964912,0.432007090603443,0.40885186950384644,0.5604846326087577,0.29794316069213767,0.4004582869044469,5,5,14,45,281,345
13,0.477151268115942,0.769927536231884,0.27040173531034434,0.5775867175536122,0.18437499999999996,83,19,27,0.21739130434782605,0.02079232283464567,0.30053951126626466,0.41540399024656927,0.39788154785641605,0.3787007711443273,0.33025235339186354,0.55961134435758,4,10,22,92,522,640
14,0.3570155993431855,0.5387931034482758,0.2543589246369224,0.7493489386063583,0.1752380952380952,33,26,47,0.1724137931034483,0.01391941391941392,0.2313343328335832,0.43203872855785563,0.4220883547703108,0.11410969416700782,0.35480970644363174,0.2871714007589715,3,9,16,77,433,525
15,0.4693270300333704,0.7741379310344827,0.2735224454906577,0.5543453237742049,0.1645161290322581,66,35,24,0.24827586206896557,0.01953842119066352,0.26695402298850573,0.42706261884111985,0.40578130236403365,0.3837169452860918,0.5498336149090237,0.4052903694198365,4,8,22,90,518,620
16,0.460240206947524,0.7459349593495934,0.27225996621361903,0.637725965406541,0.17454545454545456,61,25,25,0.2357723577235772,0.019683069224353627,0.274556843929095,0.42402522701383094,0.40726233317723814,0.22779762563358263,0.3807786531037682,0.48232086773877997,8,8,18,76,454,550
17,0.46329022988505747,0.6875,0.2537445849893539,0.6845735100750209,0.23908045977011494,49,12,27,0.16666666666666663,0.014969259556268377,0.22521929824561404,0.432373745711779,0.42949395476644137,0.2404568308353808,0.17121876895932395,0.5368756778314326,5,15,12,55,331,435
18,0.45358208955223883,0.6921641791044777,0.25239660290028165,0.46012480047468374,0.21499999999999997,61,25,35,0.16417910447761197,0.017226890756302522,0.24935473010885423,0.41852087271174243,0.41270141644689695,0.6070757762251228,0.460778646249234,0.5497347949894767,3,12,23,82,471,600
19,0.3897542735042735,0.5817307692307692,0.25306042147869523,0.7288490749863981,0.19777777777777783,31,22,38,0.15384615384615385,0.017977528089887642,0.24290515309932786,0.4294804388166914,0.42109283354141513,0.19942106832864556,0.17875123587089115,0.43745410286202513,2,9,15,64,361,450
20,0.4711104413636059,0.7751322751322751,0.27468371895511323,0.41923593509205304,0.1670886075949367,97,26,36,0.28042328042328046,0.022817060388615657,0.24957784532252617,0.41542634557164515,0.40517406306949844,0.5278385757360389,0.6172328947545812,0.5988245269353994,13,15,20,110,658,790
21,0.43204081632653063,0.6683673469387755,0.260987800463804,0.5103812286363874,0.19571428571428573,63,39,39,0.2108843537414966,0.0183967112024666,0.25020967291026,0.4151221008844094,0.4103261635803872,0.37808801868689024,0.42053715375703926,0.6736108614249909,8,17,19,96,563,700
22,0.458980044345898,0.7045454545454546,0.2734020505049393,0.7049271679303404,0.21341463414634143,80,44,41,0.24431818181818177,0.018404907975460124,0.2948701298701299,0.4147738588724905,0.39464317398843407,0.21802166938359366,0.35849164085012114,0.3110400696930233,9,18,31,106,645,820
23,0.47878787878787876,0.7916666666666666,0.27681207766086896,0.43742357237518703,0.1659090909090909,105,41,31,0.28787878787878785,0.025454545454545455,0.262164795159719,0.40776911233470803,0.40079314747658434,0.47015150168846603,0.5158050297394832,0.7045735067778939,18,18,20,120,734,880
24,0.48734478973725737,0.7693798449612403,0.2700132984462322,0.4762633434534389,0.2053097345132744,70,19,25,0.2325581395348837,0.029393173198482933,0.28015988372093026,0.4033104079552847,0.40464488782157904,0.4653895891433657,0.5578536803210983,0.5497347931268314,13,15,16,69,449,565
25,0.4425,0.75,0.26151987308502245,0.6566708229227074,0.135,47,13,21,0.17525773195876293,0.028164556962025317,0.26374570446735396,0.42419951972237113,0.4162318523145987,0.18559393638124835,0.5407786605543486,0.3083947900749488,7,9,4,60,346,400
26,0.43345632229756687,0.7408256880733946,0.2707934687453771,0.6852696553405142,0.12608695652173918,52,17,24,0.22018348623853212,0.020544672718585764,0.2643560992184845,0.43578970130085026,0.41309338425043274,0.26899140999102783,0.21378405586596452,0.46280159644475155,5,6,10,71,402,460
27,0.4930515373746888,0.7837078651685393,0.2849887375679568,0.809607434371061,0.20239520958083834,107,30,31,0.3314606741573034,0.038597503787605514,0.24884149050974416,0.3994346659174728,0.4066093534676579,0.22923500441619263,0.11378406729018782,0.2269815815808227,27,19,29,92,666,835
28,0.497647498132935,0.8106796116504854,0.2661874294239289,0.8192294544626447,0.18461538461538463,53,26,13,0.23300970873786409,0.026862026862026864,0.2172092137826004,0.4234575064909821,0.43039869124617114,0.06143170026995124,0.22187477908995454,0.26262148589662665,10,6,14,61,371,455
29,0.448789989538021,0.666083916083916,0.25193341849041273,0.6652559166809555,0.231496062992126,54,35,39,0.19580419580419584,0.0196225471816023,0.19757707081650744,0.4179717645765133,0.4286915140732446,0.09064142964059246,0.5307859974224786,0.39020187300553083,4,19,19,85,488,635
30,0.5197236278205195,0.830607476635514,0.2894275422841128,0.7122122842329179,0.20883977900552486,118,37,27,0.31775700934579443,0.026396562308164517,0.31494888333113946,0.40137234902405516,0.3866629074114103,0.2525750187494495,0.1984363020187402,0.4134188779578332,16,15,39,111,716,905
31,0.5000153562653562,0.8091216216216216,0.2736467363185119,0.8318678949590746,0.19090909090909092,80,33,20,0.277027027027027,0.039324543141337036,0.22816694245265673,0.4066629415965516,0.4170522273749868,0.07931260193651073,0.22925628637594167,0.19851892690439674,18,10,26,78,534,660
32,0.4790986790986791,0.7777777777777778,0.2806712274395226,0.7309767484836953,0.1804195804195804,71,52,21,0.27450980392156865,0.023047375160051217,0.293687650498796,0.4145358017855816,0.3975755058316154,0.11791913967380062,0.22660457370129114,0.46712495365389795,10,7,29,97,586,715
33,0.504737053392212,0.7924528301886793,0.2598700688738709,0.5755431930571373,0.21702127659574466,61,16,18,0.19811320754716977,0.02036147334706017,0.23378256963162625,0.4234307262555551,0.4236623675879432,0.44314135821975276,0.4366119864371015,0.39305087764819197,8,14,14,58,368,470
34,0.5432923512131433,0.7920792079207921,0.265751184573556,0.6792805341196009,0.29450549450549446,62,12,18,0.19801980198019797,0.027106227106227107,0.2887128712871287,0.40707934077161323,0.4078376817226129,0.36788331317317696,0.3479431550628104,0.24490272191148957,7,20,16,48,321,455
35,0.5118560606060607,0.7958333333333334,0.26333720426365387,0.37099977090155345,0.2278787878787879,100,39,27,0.25555555555555554,0.023429416112342942,0.22216014897579142,0.40104695299862525,0.41449394767595416,0.5804846175337497,0.5145542422498782,0.7934319975591269,11,18,36,100,637,825
36,0.427385831381733,0.6482142857142856,0.262327890589776,0.4811360683632969,0.2065573770491803,52,29,42,0.23571428571428577,0.028180463351849344,0.2119218910585817,0.4118571260215237,0.42396568680263946,0.4130487285939021,0.5747925662282319,0.5719570213923023,13,21,10,78,484,610
37,0.4420977011494253,0.675,0.2486069298228306,0.5125016457677474,0.20919540229885059,45,14,29,0.14,0.019246190858059342,0.24343434343434345,0.4183800120202975,0.42197410280145264,0.46143170536118117,0.2852126359868798,0.716640619799335,4,10,15,58,344,435
38,0.49840619307832423,0.7745901639344263,0.25815537362015156,0.5588713633409281,0.2222222222222222,71,14,24,0.19672131147540983,0.02561439944617515,0.24021135347513886,0.4103823976704669,0.41784740603356696,0.5348061045985025,0.21378406704183514,0.5719570271871983,10,17,16,65,420,540
39,0.44889584706657876,0.766260162601626,0.3007930683729157,0.6623493488673284,0.13153153153153152,69,19,24,0.33333333333333337,0.09860769860769861,0.25603092096494734,0.40330429183176986,0.4126890971268292,0.34531247939550685,0.36694900419243415,0.3004582931960486,34,9,11,57,482,555
40,0.4422268907563025,0.6558823529411765,0.24821174082401778,0.4958477088924451,0.22857142857142854,36,17,25,0.14117647058823535,0.025974025974025976,0.22408963585434175,0.4162290882468427,0.43358948345664305,0.5141883308969931,0.5015629598169473,0.49640146019086234,8,10,14,45,297,385
41,0.4711111111111111,0.76,0.27918771568082934,0.694917150244582,0.18222222222222217,55,16,20,0.24,0.022222222222222223,0.3109090909090909,0.420767086188379,0.40204017908445433,0.30991654290722287,0.08878406455830835,0.5164014662506681,7,10,12,61,368,450
42,0.4693064182194617,0.786231884057971,0.2781439905239076,0.7471939460845126,0.1523809523809524,81,22,24,0.2753623188405797,0.02946031746031746,0.25917698085263935,0.4176270778902593,0.409093257575742,0.1264713111717415,0.3908724479921033,0.24490272812030664,16,11,14,85,534,630
43,0.42228654469220506,0.6910377358490566,0.25784610601840585,0.6704976059189661,0.15353535353535352,56,15,29,0.17924528301886788,0.015460729746444033,0.24097035040431267,0.4323256524784207,0.4212285144439839,0.2868181786883784,0.16933962690217044,0.5336428377250575,3,9,8,79,419,495
44,0.43644927536231887,0.7028985507246377,0.24457087391118615,0.778837134930967,0.17000000000000004,33,10,18,0.1159420289855072,0.023163841807909605,0.17433930093776642,0.44654049281127794,0.46286870501346933,0.43516907400732485,0.13400076858564433,0.08783371597963606,5,7,5,43,249,300
45,0.45466564813726645,0.7164179104477613,0.2996197843699585,0.6827695254060322,0.19291338582677164,140,52,63,0.3880597014925373,0.07217329059164047,0.2594611213594947,0.38236262069930094,0.396042187706819,0.2347534743063486,0.3436696522937501,0.37576760022082323,62,29,43,120,1025,1270
46,0.46909050179211464,0.7652777777777777,0.26602396026118724,0.41143230255103,0.17290322580645157,89,33,34,0.25,0.02563887725178048,0.22855369335816264,0.4134634292179503,0.41246380147804274,0.5136681495943375,0.6210033613554192,0.6333012646654753,16,16,22,101,641,775
47,0.4597022364771151,0.7834821428571428,0.26231936366070385,0.5489750952215473,0.13592233009708743,61,25,18,0.2232142857142857,0.016371597182562345,0.19803732303732305,0.43862299741688704,0.43535061495246097,0.26908197196723666,0.7007786531037681,0.3887275114707541,4,5,14,80,445,515
48,0.5185099846390169,0.782258064516129,0.259026008371315,0.7464492176006621,0.25476190476190474,52,17,16,0.15053763440860213,0.020654044750430294,0.2898550724637681,0.42456920100671214,0.40951408922706223,0.19847859352587852,0.22866210156841635,0.3351805063120055,5,15,15,49,313,420
49,0.44619115656489694,0.7254098360655737,0.25762123858328023,0.4726446019780397,0.16697247706422014,57,26,27,0.20491803278688525,0.021916411824668705,0.21677279501422572,0.41866146248761904,0.42583749080300226,0.5868004115274528,0.29879785376830537,0.6946665647245016,4,12,9,84,454,545
50,0.42296344468784225,0.6676136363636364,0.25824676777160077,0.7813149004038701,0.17831325301204815,45,13,26,0.17045454545454541,0.02027622685865413,0.22701149425287356,0.4420623877948854,0.43142918449704537,0.10852537952461139,0.12421021704740343,0.42665787555187557,3,9,12,59,341,415
51,0.39651416122004357,0.6018518518518519,0.2481739021089572,0.6265370762386964,0.19117647058823528,27,13,29,0.13580246913580252,0.01755926251097454,0.22067901234567902,0.43040341937046744,0.43642534718186243,0.3453823292356765,0.16250201786122961,0.6133553512938422,1,9,7,51,275,340
52,0.4330620353755447,0.601063829787234,0.25069718449857875,0.6462308385627302,0.2650602409638554,36,14,34,0.17021276595744683,0.022039377020276227,0.20498741706703272,0.41835007111846567,0.43789629132967234,0.2373576163480036,0.21378406704183514,0.6136934235004329,3,13,18,49,305,415
53,0.48871765601217654,0.7527777777777778,0.2530191902424466,0.6313121195972071,0.2246575342465753,39,17,18,0.15555555555555556,0.020167427701674276,0.22971285892634208,0.42989819792635386,0.42976191110230744,0.3767239288047389,0.1941762141896077,0.534919981595791,3,9,14,47,283,365
54,0.43844760312151615,0.6826923076923077,0.26392619177227516,0.826998569033101,0.1942028985507246,61,38,40,0.23076923076923073,0.021897810218978103,0.23366418527708852,0.4192414089142864,0.4140583236817921,0.06754352231306439,0.2443181751884492,0.21033828960081477,11,16,20,91,556,690
55,0.4628787878787879,0.7575757575757576,0.2778264874671841,0.7526248280530666,0.1681818181818182,56,12,21,0.2727272727272727,0.06661442006269593,0.21170892599464028,0.4044293821002952,0.43365243645101603,0.1256541300060535,0.14344098455880797,0.47671891769838964,21,7,14,46,366,440
56,0.4806463367855773,0.8185654008438819,0.2881558006660849,0.6192259041754318,0.1427272727272727,148,40,33,0.33755274261603374,0.060315483603154835,0.247872416505757,0.39375695561488633,0.4012814049905927,0.4592763352541363,0.22364315582383854,0.4570239406554398,47,23,19,131,943,1100
57,0.5212067861715749,0.8151408450704225,0.28920349277729807,0.7367217520332274,0.2272727272727273,79,37,17,0.2605633802816901,0.021975479990747167,0.3645989411647188,0.416104301049965,0.3827753613993692,0.05527681982763646,0.25191561552007036,0.48894538213258465,7,22,18,85,510,660
58,0.40054945054945057,0.6153846153846154,0.24817165141420022,0.6630264555740315,0.18571428571428572,35,20,30,0.1428571428571429,0.030694205393000575,0.2105006105006105,0.4200941063521202,0.43671219196812694,0.22576796560906032,0.25905427008547627,0.5294682636081235,10,8,12,54,342,420
59,0.4891110519661987,0.7180451127819549,0.2648935883749473,0.8142924386970668,0.26017699115044246,57,26,31,0.21804511278195493,0.02370417193426043,0.26908179539758487,0.406572417400732,0.40706444436020417,0.21436918203505537,0.08557893415621413,0.25630603375595074,6,17,19,71,418,565
60,0.4519632414369257,0.746031746031746,0.2509683198209558,0.8689212097798611,0.1578947368421053,33,12,13,0.12698412698412698,0.014411027568922305,0.21505376344086022,0.4509488576090681,0.44744382350180123,0.04442405792862989,0.1144577546009593,0.23698045910935794,2,4,7,44,240,285
61,0.3651982931726907,0.5520833333333333,0.25049855903894624,0.5496298448899575,0.17831325301204815,26,20,38,0.16666666666666663,0.01616220981486923,0.19232456140350876,0.43485547409349,0.44248388321619647,0.2498759929989978,0.40744531132644374,0.6998647416747179,3,5,16,59,341,415
62,0.4151493198100298,0.7154471544715447,0.2648787660318243,0.597168833571355,0.11485148514851484,46,28,28,0.2357723577235772,0.02178217821782178,0.20924963347994135,0.42922695861289106,0.42836270212489,0.13632697815554787,0.45744532815233785,0.6227970774711732,7,9,6,79,447,505
63,0.48040212799248944,0.7530120481927711,0.2586616875169695,0.7483279410350594,0.20779220779220775,47,14,17,0.19277108433734935,0.04784688995215311,0.20364384366735233,0.4065560185438257,0.44249060108416693,0.0884515622014922,0.25667332195312853,0.4148373683996995,14,7,16,40,305,385
64,0.4728948583743843,0.7645089285714286,0.2774051851938346,0.39569936886371426,0.18128078817733995,128,31,45,0.3080357142857143,0.02189923425840121,0.24619634849455477,0.40809428434918216,0.40280034458132064,0.4380887887204352,0.6160474703080693,0.7638023568778026,12,18,28,145,831,1015
65,0.5073005819924683,0.8586956521739131,0.27732904221456395,0.7743774524620405,0.15590551181102363,80,38,10,0.28985507246376807,0.02249718785151856,0.24299164286469904,0.41732531645261783,0.41397599144021613,0.1108382018883864,0.417502795742891,0.1520049584871335,9,5,25,88,536,635
66,0.48242971887550196,0.7981927710843373,0.27403239401280466,0.6174293141295615,0.16666666666666663,54,11,14,0.22891566265060237,0.049617049617049616,0.2618277990008816,0.4087310554274496,0.42107040336804014,0.45554634819525974,0.054505231186427784,0.6354490945228151,15,2,17,44,325,390
67,0.48720988395358145,0.8435374149659864,0.2971814323655539,0.7840485568495824,0.13088235294117645,99,20,18,0.34693877551020413,0.08736383442265795,0.2325039604883049,0.40329311666978374,0.4158074747368188,0.16847160211100956,0.09711740403837064,0.38370410636367275,38,7,17,74,591,680
68,0.46673068715322236,0.7183098591549295,0.25480097400642454,0.6705940335653289,0.2151515151515152,38,12,17,0.11267605633802813,0.020046620046620046,0.28209255533199196,0.44013567780333784,0.4190539605121445,0.4639933765989052,0.21378406455830837,0.30636205177818693,2,9,11,44,259,330
