train_loss,train_accuracy,test_accuracy
111.03586970742732,23.730684326710815,14.524647887323944
96.90187367879682,24.22737306843267,16.19718309859155
90.06735530324163,25.08278145695364,17.781690140845072
87.10788739960464,24.17218543046358,16.549295774647888
85.17417097706644,24.475717439293597,16.901408450704224
83.0888061210927,24.199779249448124,15.933098591549296
82.00266614854927,24.862030905077262,17.781690140845072
81.09922202354268,26.352097130242825,18.573943661971832
80.1710743558046,26.103752759381898,18.838028169014084
79.19369042717985,25.717439293598233,19.19014084507042
78.0096941427106,24.44812362030905,17.077464788732392
77.74188884026889,25.055187637969095,17.341549295774648
77.07934013486559,25.41390728476821,16.989436619718308
76.65611544453229,25.41390728476821,17.693661971830984
76.38498794608232,24.751655629139073,16.901408450704224
76.09281924533998,25.99337748344371,18.926056338028168
75.45748083434614,24.724061810154527,17.341549295774648
74.31994195885602,26.103752759381898,19.102112676056336
74.19411661711685,26.186534216335538,19.8943661971831
73.39516122323934,26.103752759381898,19.102112676056336
72.6864989592605,26.32450331125828,19.102112676056336
72.28824967108963,26.048565121412803,18.221830985915492
71.57104506633348,26.655629139072843,18.133802816901408
71.3143263175374,26.876379690949225,18.30985915492958
70.83619357052348,26.076158940397352,17.16549295774648
70.56662974862145,25.717439293598233,15.316901408450704
70.36599672144456,27.1523178807947,16.549295774647888
70.75039421988001,27.373068432671083,19.102112676056336
70.4474439805684,27.345474613686534,18.133802816901408
69.67316192559277,26.21412803532009,17.429577464788732
69.58478065902766,26.103752759381898,15.580985915492956
68.51847999416927,27.345474613686534,17.781690140845072
68.58891465717794,28.55960264900662,18.573943661971832
68.52293876465964,28.614790286975715,18.838028169014084
68.52824705654555,28.228476821192057,20.070422535211268
68.07899425472947,27.980132450331123,19.806338028169016
68.04748292681244,27.483443708609272,18.573943661971832
67.56019787147774,28.33885209713024,19.366197183098592
67.14647425431573,27.676600441501105,18.926056338028168
66.94145827761497,28.66997792494481,20.862676056338028
66.47826936386068,28.311258278145697,19.19014084507042
66.04680989944886,28.89072847682119,20.68661971830986
65.48923963070699,28.725165562913908,19.630281690140844
