train_loss,train_accuracy,test_accuracy
113.94644955155395,22.461368653421633,14.348591549295776
103.90934137231301,23.3719646799117,14.084507042253522
94.6902013940234,23.454746136865342,16.637323943661972
90.28252367598434,24.061810154525386,17.517605633802816
88.53570642121254,24.061810154525386,17.077464788732392
86.14337629198081,24.199779249448124,15.580985915492956
85.01272694583214,23.62030905077263,15.140845070422534
84.42273316378632,24.668874172185433,16.109154929577464
83.85499791780279,25.027593818984545,17.517605633802816
83.26045911454611,24.116997792494484,17.253521126760564
82.26082671871261,25.275938189845476,19.014084507042252
81.68539482900607,24.724061810154527,16.109154929577464
80.5749498362993,24.944812362030905,16.461267605633804
80.03677296294786,25.41390728476821,17.6056338028169
79.66273232638126,25.607064017660043,18.573943661971832
78.81192187024723,24.420529801324502,17.341549295774648
78.92975236791821,26.29690949227373,19.982394366197184
78.22785416308288,26.29690949227373,18.133802816901408
78.4173076448016,25.579470198675498,17.341549295774648
77.98893609487023,25.33112582781457,16.989436619718308
77.6969696464431,24.97240618101545,18.221830985915492
77.18225687532316,24.944812362030905,18.75
76.62736316704532,26.076158940397352,19.366197183098592
76.94388047657493,26.655629139072843,19.014084507042252
77.19835299702125,26.21412803532009,19.454225352112676
76.60622419037723,26.020971302428258,19.014084507042252
76.9108320359318,25.883002207505516,19.454225352112676
76.78353425085781,26.71081677704194,19.102112676056336
76.58361028426046,26.683222958057396,18.573943661971832
76.22445859901961,27.980132450331123,23.591549295774648
75.0791862368554,27.31788079470199,19.806338028169016
75.5037334036555,28.311258278145697,21.30281690140845
74.61418123455304,27.95253863134658,21.654929577464788
73.50117747205871,27.290286975717436,20.33450704225352
73.25658796972684,26.793598233995585,20.510563380281692
72.92305216730188,27.40066225165563,21.214788732394364
72.35704637631508,28.090507726269315,21.830985915492956
71.61923720468101,28.532008830022075,23.767605633802816
72.1626009578957,28.97350993377483,24.823943661971832
71.71833850185033,29.856512141280355,24.735915492957748
71.37616013320873,31.18101545253863,26.58450704225352
71.30799964139061,30.849889624724064,26.23239436619718
71.68525123326773,32.560706401766005,27.72887323943662
71.2757775321795,32.20198675496689,29.48943661971831
70.84039159439179,31.788079470198678,27.2887323943662
71.50158049416034,32.588300220750554,28.345070422535212
70.56421918360634,33.526490066225165,29.313380281690144
70.37545691799401,33.85761589403973,29.225352112676056
68.98886578977995,32.698675496688736,28.080985915492956
69.07649922364998,33.00220750551877,29.13732394366197
68.30826386920221,31.42935982339956,27.37676056338028
68.49326285941615,30.656732891832227,24.647887323943664
67.8834634019461,29.856512141280355,24.031690140845072
68.04640682679158,30.132450331125828,23.151408450704224
67.44744138959759,31.236203090507725,24.823943661971832
68.3042643019645,34.85099337748344,27.904929577464788
67.70345104557262,32.588300220750554,26.936619718309856
67.7178468948936,31.31898454746137,27.11267605633803
67.1603783302763,33.443708609271525,26.320422535211268
67.5381029750967,34.05077262693157,28.69718309859155
68.32738719896842,33.16777041942605,26.936619718309856
68.12649400289621,33.02980132450331,24.119718309859156
67.59847546685191,32.477924944812365,25.704225352112676
67.40623405091058,34.46467991169978,26.76056338028169
67.08808339369993,34.07836644591612,26.320422535211268
66.2041925965339,32.80905077262693,23.767605633802816
66.18150012996529,32.97461368653421,24.647887323943664
66.43582349586566,36.67218543046358,28.87323943661972
66.90432919992415,36.53421633554083,29.841549295774648
66.34982802178747,36.423841059602644,27.55281690140845
66.78960342941961,33.471302428256074,24.383802816901408
65.57763571522776,34.492273730684325,26.23239436619718
66.23622327510245,36.00993377483444,25.880281690140844
66.0267048965223,33.443708609271525,23.943661971830984
66.23628420236018,34.602649006622514,27.11267605633803
66.12299800481618,34.7682119205298,26.496478873239436
