,Q_M,Q_h,num_chord,num_scale,num_diss,Q_s,Comp_M,RR_I,RR_D,H_I_norm,H_D_norm,Q_b,EMD_chord,EMD_scale,EMD_diss,Q_f,num_unison,num_stepwise,num_conjunct,num_disjunct
206,0.10923057650990184,-0.859375,0,6,58,0.688366127776022,0.828125,1.0,1.0,0.3068528194400548,0.3068528194400548,0.7583549365916689,2.0,1.3794141583579849,0.9535263884601572,0.8181818181818181,63,0,0,0
207,0.27798348223115843,-0.4464285714285714,16,20,76,0.6959554134903074,0.8660714285714286,1.0,1.0,0.3068528194400544,0.3068528194400546,0.7686373223408095,1.818546133838694,1.3794141583579849,0.9535263884601572,0.8181818181818181,111,0,0,0
208,0.7477453869930633,0.7291666666666667,56,36,4,0.6935744611093552,0.8541666666666666,1.0,1.0,0.3068528194400544,0.3068528194400548,0.7686373223408095,1.818546133838694,1.3794141583579849,0.9535263884601572,0.8181818181818181,95,0,0,0
209,0.6030484172960935,0.36363636363636365,24,128,24,0.7011502186851127,0.8920454545454546,1.0,1.0,0.3068528194400547,0.3068528194400546,0.7686373223408095,1.818546133838694,1.3794141583579849,0.9535263884601572,0.8181818181818181,175,0,0,0
210,0.5852453869930632,0.32291666666666663,44,26,26,0.6935744611093552,0.8541666666666666,1.0,1.0,0.3068528194400544,0.3068528194400548,0.7686373223408095,1.818546133838694,1.3794141583579849,0.9535263884601572,0.8181818181818181,95,0,0,0
211,0.7367341772661249,0.725,108,132,0,0.7044077944426886,0.9083333333333333,1.0,1.0,0.30685281944005494,0.3068528194400545,0.7110812737061181,1.818546133838694,1.3794141583579849,2.0,0.8181818181818181,239,0,0,0
212,0.0717305765099018,-0.953125,0,2,62,0.688366127776022,0.828125,1.0,1.0,0.3068528194400548,0.3068528194400548,0.7583549365916689,2.0,1.3794141583579849,0.9535263884601572,0.8181818181818181,63,0,0,0
213,0.5905231647708411,0.33333333333333337,60,48,36,0.6991300166649107,0.8819444444444444,1.0,1.0,0.30685281944005494,0.3068528194400545,0.7686373223408095,1.818546133838694,1.3794141583579849,0.9535263884601572,0.8181818181818181,143,0,0,0
214,0.6208406250883014,0.4107142857142857,58,28,26,0.6959554134903074,0.8660714285714286,1.0,1.0,0.3068528194400544,0.3068528194400546,0.7686373223408095,1.818546133838694,1.3794141583579849,0.9535263884601572,0.8181818181818181,111,0,0,0
215,0.7050370536597299,0.625,40,16,8,0.688366127776022,0.828125,1.0,1.0,0.3068528194400548,0.3068528194400548,0.7686373223408095,1.818546133838694,1.3794141583579849,0.9535263884601572,0.8181818181818181,63,0,0,0
